Entry	Entry name	Length	Gene names  (ordered locus )	Gene ontology IDs	Cross-reference (InterPro)	Keywords	Keyword ID
P0A786	PYRB_ECOLI	311	b4245 JW4204	GO:0004070; GO:0005737; GO:0005829; GO:0006207; GO:0006520; GO:0006807; GO:0016597; GO:0042802; GO:0044205; GO:0070207	IPR006132;IPR006130;IPR036901;IPR002082;IPR006131;	3D-structure;Direct protein sequencing;Pyrimidine biosynthesis;Reference proteome;Transferase	KW-0002; KW-0665; KW-0808; KW-0903; KW-1185
P0A7G6	RECA_ECOLI	353	b2699 JW2669	GO:0003684; GO:0003697; GO:0005524; GO:0005737; GO:0006281; GO:0006310; GO:0006974; GO:0008094; GO:0009314; GO:0009432; GO:0010212; GO:0048870	IPR003593;IPR013765;IPR020584;IPR027417;IPR020588;IPR023400;IPR020587;	3D-structure;ATP-binding;Cytoplasm;DNA damage;DNA recombination;DNA repair;DNA-binding;Direct protein sequencing;Nucleotide-binding;Reference proteome;SOS response;Stress response	KW-0002; KW-0067; KW-0227; KW-0233; KW-0234; KW-0238; KW-0346; KW-0547; KW-0742; KW-0903; KW-0963; KW-1185
P27844	RARD_ECOLI	296	b3819 JW5589	GO:0005886; GO:0005887; GO:0016021	IPR000620;IPR004626;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P60240	RAPA_ECOLI	968	b0059 JW0058	GO:0001000; GO:0003676; GO:0003677; GO:0004386; GO:0005524; GO:0005737; GO:0016887; GO:0045893; GO:0070615	IPR014001;IPR001650;IPR023949;IPR027417;IPR022737;IPR038718;IPR000330;IPR040765;IPR040766;	3D-structure;ATP-binding;Activator;DNA-binding;Direct protein sequencing;Helicase;Hydrolase;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation	KW-0002; KW-0010; KW-0067; KW-0238; KW-0347; KW-0378; KW-0547; KW-0804; KW-0805; KW-0903; KW-1185
P30176	RIBX_ECOLI	160	b0798 JW0783	GO:0009231; GO:0016799; GO:0034656; GO:1901135	IPR012816;IPR037238;	3D-structure;Glycosidase;Hydrolase;Reference proteome	KW-0002; KW-0326; KW-0378; KW-1185
P37692	RFAF_ECOLI	348	b3620 JW3595	GO:0005829; GO:0008713; GO:0009244	IPR002201;IPR011910;	3D-structure;Glycosyltransferase;Lipopolysaccharide biosynthesis;Reference proteome;Transferase	KW-0002; KW-0328; KW-0448; KW-0808; KW-1185
P75718	REND_ECOLI	61	b0542 JW0530			Reference proteome	KW-1185
P0A6A0	UBIB_ECOLI	546	b3835 JW3812	GO:0004672; GO:0005524; GO:0005886; GO:0006744; GO:0010795; GO:0016021	IPR011009;IPR010232;IPR004147;	ATP-binding;Cell inner membrane;Cell membrane;Kinase;Membrane;Nucleotide-binding;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Ubiquinone biosynthesis	KW-0067; KW-0418; KW-0472; KW-0547; KW-0808; KW-0812; KW-0831; KW-0997; KW-1003; KW-1133; KW-1185
P0AGI4	XYLH_ECOLI	393	b3568 JW3540	GO:0005886; GO:0008643; GO:0016021; GO:0022857; GO:0042732	IPR001851;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0762; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P71243	WCAL_ECOLI	406	b2044 JW2029	GO:0009103; GO:0016757; GO:0045228; GO:0046377	IPR023884;IPR001296;IPR028098;	Glycosyltransferase;Lipopolysaccharide biosynthesis;Reference proteome;Transferase	KW-0328; KW-0448; KW-0808; KW-1185
P76002	PLIG_ECOLI	133	b1178 JW1167	GO:0005829; GO:0042597; GO:0060241	IPR007280;	3D-structure;Periplasm;Reference proteome;Signal	KW-0002; KW-0574; KW-0732; KW-1185
P02338	PRTL_ECOLI	29	b1229 JW1219			Reference proteome	KW-1185
P68679	RS21_ECOLI	71	b3065 JW3037	GO:0000028; GO:0003735; GO:0005829; GO:0006412; GO:0019843; GO:0022627	IPR001911;IPR018278;IPR038380;	3D-structure;Direct protein sequencing;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding	KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185
P0A8N5	SYK2_ECOLI	505	b4129 JW4090	GO:0000049; GO:0000287; GO:0004824; GO:0005524; GO:0005829; GO:0006418; GO:0006430; GO:0016020; GO:0016874	IPR004364;IPR006195;IPR002313;IPR034762;IPR044136;IPR018149;IPR012340;IPR004365;	3D-structure;ATP-binding;Acetylation;Aminoacyl-tRNA synthetase;Cytoplasm;Direct protein sequencing;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome	KW-0002; KW-0007; KW-0030; KW-0067; KW-0436; KW-0460; KW-0479; KW-0547; KW-0648; KW-0903; KW-0963; KW-1185
P16659	SYP_ECOLI	572	b0194 JW0190	GO:0004827; GO:0005524; GO:0005829; GO:0006433; GO:0043906	IPR002314;IPR006195;IPR004154;IPR036621;IPR002316;IPR004500;IPR023717;IPR044140;IPR033730;IPR036754;IPR007214;	ATP-binding;Aminoacyl-tRNA synthetase;Cytoplasm;Direct protein sequencing;Ligase;Nucleotide-binding;Protein biosynthesis;Reference proteome	KW-0030; KW-0067; KW-0436; KW-0547; KW-0648; KW-0903; KW-0963; KW-1185
P0AGL2	TDCF_ECOLI	129	b3113 JW5521	GO:0005829; GO:0006566; GO:0019239; GO:0042802; GO:0070689; GO:1901565	IPR006056;IPR019897;IPR035959;IPR006175;	3D-structure;Hydrolase;Pyridoxal phosphate;Reference proteome	KW-0002; KW-0378; KW-0663; KW-1185
Q2EES9	TORI_ECOLI	66	b4501 JW5387	GO:0003677; GO:0006310; GO:0042802; GO:0043565; GO:0044349; GO:2000143		3D-structure;DNA recombination;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	KW-0002; KW-0233; KW-0238; KW-0678; KW-0804; KW-0805; KW-1185
P45532	TUSD_ECOLI	128	b3345 JW3307	GO:0002143; GO:0005829; GO:0016783; GO:0097163; GO:1990228	IPR027396;IPR003787;IPR017463;	3D-structure;Cytoplasm;Reference proteome;Transferase;tRNA processing	KW-0002; KW-0808; KW-0819; KW-0963; KW-1185
P45463	TTDR_ECOLI	310	b3060 JW3032	GO:0001228; GO:0003700; GO:0006351; GO:0043565; GO:0045893	IPR005119;IPR000847;IPR036388;IPR036390;	Activator;DNA-binding;Reference proteome;Transcription;Transcription regulation	KW-0010; KW-0238; KW-0804; KW-0805; KW-1185
P0A9P4	TRXB_ECOLI	321	b0888 JW0871	GO:0004791; GO:0005829; GO:0019430; GO:0050660	IPR036188;IPR023753;IPR008255;IPR005982;	3D-structure;Cytoplasm;Direct protein sequencing;Disulfide bond;FAD;Flavoprotein;NADP;Oxidoreductase;Redox-active center;Reference proteome	KW-0002; KW-0274; KW-0285; KW-0521; KW-0560; KW-0676; KW-0903; KW-0963; KW-1015; KW-1185
P22186	MRAZ_ECOLI	152	b0081 JW0079	GO:0000976; GO:0003700; GO:0005737; GO:0009295; GO:0043565; GO:0045892; GO:2000143	IPR003444;IPR035644;IPR020603;IPR035642;IPR038619;IPR007159;IPR037914;	Cytoplasm;DNA-binding;Reference proteome;Repeat;Repressor;Transcription;Transcription regulation	KW-0238; KW-0677; KW-0678; KW-0804; KW-0805; KW-0963; KW-1185
P0A9N4	PFLA_ECOLI	246	b0902 JW0885	GO:0005829; GO:0006006; GO:0006974; GO:0016491; GO:0030955; GO:0043365; GO:0051539	IPR013785;IPR034457;IPR012839;IPR012838;IPR034465;IPR001989;IPR007197;	3D-structure;4Fe-4S;Carbohydrate metabolism;Cytoplasm;Direct protein sequencing;Glucose metabolism;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome;S-adenosyl-L-methionine	KW-0002; KW-0004; KW-0119; KW-0313; KW-0408; KW-0411; KW-0479; KW-0560; KW-0903; KW-0949; KW-0963; KW-1185
P0A7T3	RS16_ECOLI	82	b2609 JW2590	GO:0000028; GO:0000400; GO:0003735; GO:0004520; GO:0006412; GO:0015935; GO:0022627	IPR000307;IPR020592;IPR023803;	3D-structure;Direct protein sequencing;Endonuclease;Hydrolase;Nuclease;Reference proteome;Ribonucleoprotein;Ribosomal protein	KW-0002; KW-0255; KW-0378; KW-0540; KW-0687; KW-0689; KW-0903; KW-1185
P60390	RSMH_ECOLI	313	b0082 JW0080	GO:0005737; GO:0005829; GO:0070475; GO:0071424	IPR002903;IPR023397;IPR029063;	3D-structure;Cytoplasm;Direct protein sequencing;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;rRNA processing	KW-0002; KW-0489; KW-0698; KW-0808; KW-0903; KW-0949; KW-0963; KW-1185
P0AGH3	SAPB_ECOLI	321	b1293 JW1286	GO:0005886; GO:0015489; GO:0015847; GO:0016021; GO:0071916	IPR000515;IPR035906;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P0AAH4	SAPD_ECOLI	330	b1291 JW1284	GO:0005524; GO:0005886; GO:0015489; GO:0015833; GO:0015847; GO:0071805	IPR003593;IPR003439;IPR013563;IPR027417;	ATP-binding;Cell inner membrane;Cell membrane;Ion transport;Membrane;Nucleotide-binding;Potassium;Potassium transport;Reference proteome;Transport	KW-0067; KW-0406; KW-0472; KW-0547; KW-0630; KW-0633; KW-0813; KW-0997; KW-1003; KW-1185
P0A8R4	SLYX_ECOLI	72	b3348 JW3310		IPR007236;	Reference proteome	KW-1185
P0AGJ2	TRMH_ECOLI	229	b3651 JW3626	GO:0000049; GO:0002938; GO:0009020; GO:0030488; GO:0052665	IPR029028;IPR022724;IPR001537;IPR033671;IPR029026;	Methyltransferase;RNA-binding;Reference proteome;S-adenosyl-L-methionine;Transferase;tRNA processing;tRNA-binding	KW-0489; KW-0694; KW-0808; KW-0819; KW-0820; KW-0949; KW-1185
P0A910	OMPA_ECOLI	346	b0957 JW0940	GO:0000746; GO:0006811; GO:0006974; GO:0009279; GO:0009597; GO:0015075; GO:0015288; GO:0016020; GO:0016021; GO:0019867; GO:0030288; GO:0042802; GO:0045203; GO:0046718; GO:0046930	IPR011250;IPR006664;IPR002368;IPR006665;IPR006690;IPR036737;IPR000498;	3D-structure;Cell outer membrane;Conjugation;Direct protein sequencing;Disulfide bond;Host-virus interaction;Hydroxylation;Ion transport;Membrane;Porin;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane beta strand;Transport	KW-0002; KW-0184; KW-0379; KW-0406; KW-0472; KW-0626; KW-0677; KW-0732; KW-0812; KW-0813; KW-0903; KW-0945; KW-0998; KW-1015; KW-1134; KW-1185
P21514	PDEL_ECOLI	362	b0315 JW0307	GO:0000984; GO:0045893; GO:0046872; GO:0071111	IPR001633;IPR035919;IPR016032;IPR000792;IPR036388;	3D-structure;DNA-binding;Hydrolase;Magnesium;Manganese;Metal-binding;Reference proteome;Transcription;Transcription regulation;c-di-GMP	KW-0002; KW-0238; KW-0378; KW-0460; KW-0464; KW-0479; KW-0804; KW-0805; KW-0973; KW-1185
P0AFI9	PERM_ECOLI	353	b2493 JW2478	GO:0005886; GO:0016021; GO:0055085	IPR002549;	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0812; KW-0813; KW-1003; KW-1133; KW-1185
P07004	PROA_ECOLI	417	b0243 JW0233	GO:0004350; GO:0005829; GO:0042802; GO:0050661; GO:0055129	IPR016161;IPR016163;IPR016162;IPR015590;IPR020593;IPR012134;IPR000965;	Amino-acid biosynthesis;Cytoplasm;Direct protein sequencing;NADP;Oxidoreductase;Proline biosynthesis;Reference proteome	KW-0028; KW-0521; KW-0560; KW-0641; KW-0903; KW-0963; KW-1185
P21338	RNI_ECOLI	268	b0611 JW0603	GO:0003723; GO:0005737; GO:0006401; GO:0008847; GO:0016829; GO:0030288; GO:0033897	IPR001568;IPR036430;IPR018188;IPR033130;IPR039378;	3D-structure;Cytoplasm;Direct protein sequencing;Disulfide bond;Endonuclease;Hydrolase;Lyase;Nuclease;Periplasm;Reference proteome;Signal	KW-0002; KW-0255; KW-0378; KW-0456; KW-0540; KW-0574; KW-0732; KW-0903; KW-0963; KW-1015; KW-1185
P77468	SFMD_ECOLI	867	b0532 JW0521	GO:0009279; GO:0009297; GO:0015473; GO:0016021; GO:0043711	IPR000015;IPR018030;IPR042186;IPR025949;IPR043142;IPR025885;IPR037224;	Cell outer membrane;Disulfide bond;Fimbrium biogenesis;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport	KW-0472; KW-0732; KW-0812; KW-0813; KW-0998; KW-1015; KW-1029; KW-1134; KW-1185
P0ACH1	SFSB_ECOLI	92	b3188 JW3155	GO:0003677	IPR010982;IPR038722;	Activator;DNA-binding;Reference proteome;Transcription;Transcription regulation	KW-0010; KW-0238; KW-0804; KW-0805; KW-1185
P39300	ULAG_ECOLI	354	b4192 JW5868	GO:0005737; GO:0019854; GO:0030145; GO:0035460	IPR023951;IPR036866;	3D-structure;Cytoplasm;Hydrolase;Reference proteome	KW-0002; KW-0378; KW-0963; KW-1185
P76373	UDG_ECOLI	388	b2028 JW2010	GO:0003979; GO:0006065; GO:0009103; GO:0009242; GO:0051287	IPR008927;IPR036291;IPR017476;IPR014027;IPR036220;IPR014026;IPR001732;IPR028357;	NAD;Oxidoreductase;Phosphoprotein;Reference proteome	KW-0520; KW-0560; KW-0597; KW-1185
P07024	USHA_ECOLI	550	b0480 JW0469	GO:0000166; GO:0008253; GO:0008768; GO:0009166; GO:0030288; GO:0046872	IPR008334;IPR036907;IPR006146;IPR006179;IPR004843;IPR029052;	3D-structure;Direct protein sequencing;Disulfide bond;Hydrolase;Metal-binding;Nucleotide-binding;Periplasm;Reference proteome;Signal;Zinc	KW-0002; KW-0378; KW-0479; KW-0547; KW-0574; KW-0732; KW-0862; KW-0903; KW-1015; KW-1185
P0ACI3	XYLR_ECOLI	392	b3569 JW3541	GO:0000976; GO:0003700; GO:0006355	IPR009057;IPR018060;IPR018062;IPR028082;IPR020449;	3D-structure;DNA-binding;Reference proteome;Transcription;Transcription regulation	KW-0002; KW-0238; KW-0804; KW-0805; KW-1185
P0A8Z3	YBGC_ECOLI	134	b0736 JW0726	GO:0005886; GO:0006629; GO:0016790; GO:0047617	IPR008272;IPR029069;IPR006683;IPR014166;IPR006684;	3D-structure;Cell inner membrane;Cell membrane;Hydrolase;Lipid metabolism;Membrane;Reference proteome	KW-0002; KW-0378; KW-0443; KW-0472; KW-0997; KW-1003; KW-1185
P75811	RCDA_ECOLI	178	b0846 JW5114	GO:0003677; GO:0003700; GO:0006351; GO:0045893	IPR009057;IPR001647;IPR036271;	3D-structure;DNA-binding;Reference proteome;Transcription;Transcription regulation	KW-0002; KW-0238; KW-0804; KW-0805; KW-1185
P64554	QUEE_ECOLI	223	b2777 JW2748	GO:0000287; GO:0005829; GO:0008616; GO:0016840; GO:0032153; GO:0032466; GO:0051539; GO:1904047	IPR024924;IPR013785;IPR007197;IPR027609;	4Fe-4S;Iron;Iron-sulfur;Lyase;Magnesium;Metal-binding;Queuosine biosynthesis;Reference proteome;S-adenosyl-L-methionine	KW-0004; KW-0408; KW-0411; KW-0456; KW-0460; KW-0479; KW-0671; KW-0949; KW-1185
P25742	RFAQ_ECOLI	344	b3632 JW3607	GO:0005829; GO:0008713; GO:0009244; GO:0071967	IPR002201;IPR011916;	Glycosyltransferase;Lipopolysaccharide biosynthesis;Reference proteome;Transferase	KW-0328; KW-0448; KW-0808; KW-1185
P68919	RL25_ECOLI	94	b2185 JW2173	GO:0000027; GO:0003735; GO:0005829; GO:0006412; GO:0008097; GO:0009314; GO:0017148; GO:0022625	IPR020056;IPR029751;IPR011035;IPR020055;	3D-structure;Direct protein sequencing;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding	KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185
P55135	RLMD_ECOLI	433	b2785 JW2756	GO:0003723; GO:0005506; GO:0051539; GO:0070041; GO:0070475	IPR001566;IPR030390;IPR030391;IPR012340;IPR029063;IPR002792;IPR010280;	3D-structure;4Fe-4S;Direct protein sequencing;Iron;Iron-sulfur;Metal-binding;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;rRNA processing	KW-0002; KW-0004; KW-0408; KW-0411; KW-0479; KW-0489; KW-0698; KW-0808; KW-0903; KW-0949; KW-1185
Q46802	UACR_ECOLI	592	b2869 JW2837	GO:0005524; GO:0006355; GO:0008134; GO:0019628; GO:0043565	IPR003593;IPR009057;IPR002197;IPR027417;IPR000014;IPR035965;IPR002078;IPR025662;IPR025943;IPR025944;	ATP-binding;DNA-binding;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation	KW-0067; KW-0238; KW-0547; KW-0804; KW-0805; KW-1185
P09184	VSR_ECOLI	156	b1960 JW1943	GO:0003677; GO:0006298; GO:0043765; GO:0046872	IPR004603;IPR011335;	3D-structure;DNA damage;DNA repair;Endonuclease;Hydrolase;Magnesium;Metal-binding;Nuclease;Reference proteome;Zinc	KW-0002; KW-0227; KW-0234; KW-0255; KW-0378; KW-0460; KW-0479; KW-0540; KW-0862; KW-1185
P0AAA7	WZXE_ECOLI	416	b3792 JW3766	GO:0005886; GO:0005887; GO:0009246	IPR002797;IPR044550;IPR032896;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P32057	WCAI_ECOLI	407	b2050 JW2035	GO:0009103; GO:0009242; GO:0045228; GO:0046920	IPR023910;IPR001296;IPR028098;	Lipopolysaccharide biosynthesis;Reference proteome;Transferase	KW-0448; KW-0808; KW-1185
P12994	YBHB_ECOLI	158	b0773 JW0756	GO:0005737	IPR008914;IPR036610;IPR005247;	3D-structure;Cytoplasm;Reference proteome	KW-0002; KW-0963; KW-1185
P75809	YBJI_ECOLI	271	b0844 JW5113	GO:0000287; GO:0005829; GO:0009231; GO:0016791; GO:0043726	IPR000150;IPR036412;IPR006379;IPR023214;	Hydrolase;Magnesium;Metal-binding;Reference proteome	KW-0378; KW-0460; KW-0479; KW-1185
P0AAZ0	YBJO_ECOLI	162	b0858 JW0842	GO:0005886; GO:0016021	IPR019703;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185
P75683	YAGG_ECOLI	460	b0270 JW0263	GO:0005886; GO:0005887; GO:0006814; GO:0008643; GO:0015293; GO:0071702	IPR039672;IPR036259;IPR001927;IPR018043;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0769; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
Q47149	YAFQ_ECOLI	92	b0225 JW0215	GO:0003677; GO:0003723; GO:0004521; GO:0006402; GO:0006415; GO:0016892; GO:0043022; GO:0044010; GO:0046677	IPR007712;IPR035093;IPR004386;	3D-structure;DNA-binding;Endonuclease;Hydrolase;Nuclease;RNA-binding;Reference proteome;Repressor;Toxin-antitoxin system;Transcription;Transcription regulation	KW-0002; KW-0238; KW-0255; KW-0378; KW-0540; KW-0678; KW-0694; KW-0804; KW-0805; KW-1185; KW-1277
P0A8E5	YACL_ECOLI	120	b0119 JW0115		IPR008249;	Reference proteome	KW-1185
P0AAR8	YBAV_ECOLI	123	b0442 JW0432	GO:0003677; GO:0006281; GO:0030288	IPR004509;IPR003583;IPR010994;	Reference proteome;Repeat;Signal	KW-0677; KW-0732; KW-1185
P0AAS9	YBDD_ECOLI	65	b4512 JW0591		IPR007423;	Reference proteome	KW-1185
P0DPM7	YADW_ECOLI	21	b4728			Reference proteome	KW-1185
P18393	YBDZ_ECOLI	72	b4511 JW0577	GO:0005829; GO:0009239; GO:0019290; GO:0043085	IPR005153;IPR038020;IPR037407;	3D-structure;Enterobactin biosynthesis;Reference proteome	KW-0002; KW-0259; KW-1185
P77526	YFCG_ECOLI	215	b2302 JW2299	GO:0004601; GO:0006749; GO:0006979; GO:0015036	IPR010987;IPR036282;IPR004045;IPR004046;IPR036249;	3D-structure;Oxidoreductase;Peroxidase;Reference proteome	KW-0002; KW-0560; KW-0575; KW-1185
P0AAS0	YLAC_ECOLI	156	b0458 JW5063	GO:0005886; GO:0016021	IPR019713;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185
P76536	YFEX_ECOLI	299	b2431 JW2424	GO:0004601; GO:0005737; GO:0005829; GO:0020037; GO:0046872	IPR011008;IPR006314;	Cytoplasm;Heme;Iron;Metal-binding;Oxidoreductase;Peroxidase;Reference proteome	KW-0349; KW-0408; KW-0479; KW-0560; KW-0575; KW-0963; KW-1185
P0ADA3	NLPD_ECOLI	379	b2742 JW2712	GO:0000920; GO:0004222; GO:0005886; GO:0007049; GO:0009279; GO:0032153; GO:0042493; GO:0051345	IPR011055;IPR018392;IPR036779;IPR016047;	Cell cycle;Cell division;Cell inner membrane;Cell membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Repeat;Signal	KW-0131; KW-0132; KW-0449; KW-0472; KW-0564; KW-0677; KW-0732; KW-0997; KW-1003; KW-1185
P76242	NIMT_ECOLI	393	b1791 JW1780	GO:0005886; GO:0005887; GO:0022857; GO:0046677	IPR004747;IPR011701;IPR020846;IPR036259;	Antibiotic resistance;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0046; KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P0A729	NTPPB_ECOLI	194	b1087 JW5155	GO:0005737; GO:0009117; GO:0047429	IPR029001;IPR003697;	3D-structure;Cytoplasm;Hydrolase;Nucleotide metabolism;Reference proteome	KW-0002; KW-0378; KW-0546; KW-0963; KW-1185
P27298	OPDA_ECOLI	680	b3498 JW3465	GO:0004222; GO:0005737; GO:0005829; GO:0006260; GO:0006465; GO:0006508; GO:0006518; GO:0008233; GO:0046872	IPR034005;IPR024077;IPR001567;	Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Zinc	KW-0378; KW-0479; KW-0482; KW-0645; KW-0862; KW-1185
P00452	RIR1_ECOLI	761	b2234 JW2228	GO:0004748; GO:0005524; GO:0005829; GO:0005971; GO:0006260; GO:0009263; GO:0015949; GO:0042802	IPR005144;IPR013346;IPR000788;IPR013509;IPR008926;IPR039718;	3D-structure;ATP-binding;Acetylation;Allosteric enzyme;Alternative initiation;DNA replication;Direct protein sequencing;Disulfide bond;Nucleotide-binding;Oxidoreductase;Reference proteome	KW-0002; KW-0007; KW-0021; KW-0024; KW-0067; KW-0235; KW-0547; KW-0560; KW-0903; KW-1015; KW-1185
P27243	RFAL_ECOLI	419	b3622 JW3597	GO:0005886; GO:0005887; GO:0009244; GO:0016757; GO:0016874	IPR007016;	Cell inner membrane;Cell membrane;Ligase;Lipopolysaccharide biosynthesis;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-0436; KW-0448; KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185
P0A7L8	RL27_ECOLI	85	b3185 JW3152	GO:0000027; GO:0000049; GO:0001558; GO:0003735; GO:0006412; GO:0019843; GO:0022625; GO:0042256; GO:0043022; GO:0090070; GO:1902626	IPR001684;IPR018261;	3D-structure;Direct protein sequencing;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding;tRNA-binding	KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0820; KW-0903; KW-1185
P67087	RSMI_ECOLI	286	b3146 JW3115	GO:0000453; GO:0005737; GO:0070677	IPR000878;IPR035996;IPR014777;IPR014776;IPR008189;IPR018063;	3D-structure;Cytoplasm;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;rRNA processing	KW-0002; KW-0489; KW-0698; KW-0808; KW-0949; KW-0963; KW-1185
P0AGH5	SAPC_ECOLI	296	b1292 JW1285	GO:0005886; GO:0015489; GO:0015847; GO:0016021	IPR000515;IPR035906;IPR025966;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P31436	SETC_ECOLI	394	b3659 JW3633	GO:0005351; GO:0005886; GO:0015767; GO:0016021; GO:0036448; GO:0055085; GO:1904659	IPR011701;IPR020846;IPR036259;IPR004750;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0762; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P0AFE8	NUOM_ECOLI	509	b2277 JW2272	GO:0005886; GO:0005887; GO:0008137; GO:0009060; GO:0015990; GO:0030964; GO:0042773; GO:0045272; GO:0048039	IPR010227;IPR003918;IPR001750;	Cell inner membrane;Cell membrane;Membrane;NAD;Quinone;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Ubiquinone	KW-0472; KW-0520; KW-0812; KW-0830; KW-0874; KW-0997; KW-1003; KW-1133; KW-1185; KW-1278
P0A921	PA1_ECOLI	289	b3821 JW3794	GO:0004620; GO:0004622; GO:0004623; GO:0005509; GO:0008970; GO:0009279; GO:0016042; GO:0031230; GO:0042803; GO:0045203; GO:0046471; GO:0052739; GO:0052740; GO:0102567; GO:0102568	IPR003187;IPR036541;	3D-structure;Calcium;Cell outer membrane;Direct protein sequencing;Hydrolase;Lipid degradation;Lipid metabolism;Membrane;Metal-binding;Reference proteome;Signal;Transmembrane;Transmembrane beta strand	KW-0002; KW-0106; KW-0378; KW-0442; KW-0443; KW-0472; KW-0479; KW-0732; KW-0812; KW-0903; KW-0998; KW-1134; KW-1185
P32670	PTFX2_ECOLI	833	b3947 JW5555	GO:0005737; GO:0008965; GO:0009401; GO:0016301; GO:0046872	IPR000032;IPR035895;IPR008279;IPR018274;IPR000121;IPR023151;IPR036637;IPR016152;IPR006318;IPR002178;IPR008731;IPR001020;IPR036618;IPR015813;IPR040442;	Cytoplasm;Kinase;Magnesium;Metal-binding;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport	KW-0418; KW-0460; KW-0479; KW-0597; KW-0598; KW-0762; KW-0808; KW-0813; KW-0963; KW-1185
P69797	PTNAB_ECOLI	323	b1817 JW1806	GO:0005737; GO:0005829; GO:0005887; GO:0009401; GO:0015761; GO:0016020; GO:0016301; GO:0022870; GO:0098708	IPR013789;IPR004701;IPR036662;IPR033887;IPR004720;IPR036667;IPR018455;	3D-structure;Acetylation;Cell inner membrane;Cell membrane;Cytoplasm;Direct protein sequencing;Kinase;Membrane;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport	KW-0002; KW-0007; KW-0418; KW-0472; KW-0597; KW-0598; KW-0762; KW-0808; KW-0813; KW-0903; KW-0963; KW-0997; KW-1003; KW-1185
P0DSG0	PSSL_ECOLI	13	b4782			Reference proteome	KW-1185
P0AA53	QMCA_ECOLI	305	b0489 JW0478	GO:0005886; GO:0016021; GO:0042802	IPR001107;IPR036013;IPR018080;IPR032435;IPR001972;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185
P07010	REM_ECOLI	83	b1561 JW1553		IPR016418;	Reference proteome	KW-1185
